Waktu,PM10,PM2.5,SO2,CO,O3,NO2,HC,Critical Component
01 Januari 2022,16.2,0.0,7.6,18.2,1.0,11.0,7.0,CO
02 Januari 2022,10.4,0.0,7.5,16.0,1.0,11.0,7.7,CO
03 Januari 2022,10.7,0.0,8.6,16.5,1.0,10.5,6.6,CO
04 Januari 2022,19.3,0.0,8.5,18.9,0.8,10.0,5.9,CO
06 Januari 2022,0.0,0.0,0.4,14.4,0.0,6.4,2.7,CO
07 Januari 2022,0.0,0.0,9.1,8.0,0.0,6.0,2.4,SO2
08 Januari 2022,0.0,0.0,29.4,8.3,0.0,7.5,3.2,SO2
09 Januari 2022,0.0,0.0,18.7,15.2,0.0,10.3,4.9,SO2
10 Januari 2022,0.0,0.0,16.7,18.3,0.0,11.5,5.8,CO
11 Januari 2022,0.0,0.0,13.3,17.3,0.0,11.8,5.0,CO
12 Januari 2022,0.0,0.0,12.5,20.3,0.0,10.8,6.3,CO
13 Januari 2022,5.5,0.0,14.5,22.2,0.0,12.3,7.2,CO
14 Januari 2022,23.8,0.0,18.5,23.5,0.0,12.6,3.9,PM10
15 Januari 2022,28.1,0.0,10.2,19.9,0.0,12.3,4.0,PM10
16 Januari 2022,32.8,0.0,14.9,22.9,0.0,13.5,5.8,PM10
17 Januari 2022,33.3,0.0,14.5,21.9,0.6,13.7,5.8,PM10
18 Januari 2022,24.8,0.0,15.1,21.8,2.8,13.7,6.0,PM10
19 Januari 2022,28.8,0.0,8.3,18.5,5.6,12.7,6.0,PM10
20 Januari 2022,23.0,0.0,7.6,18.9,8.7,13.2,5.6,PM10
21 Januari 2022,28.1,0.0,7.1,19.2,7.4,13.5,6.1,PM10
22 Januari 2022,30.3,0.0,8.4,17.4,6.7,12.1,5.6,PM10
23 Januari 2022,24.1,0.0,7.0,19.9,7.4,12.3,6.3,PM10
24 Januari 2022,20.9,0.0,7.2,19.7,7.6,13.0,7.0,PM10
25 Januari 2022,17.9,0.0,6.5,18.6,8.7,13.2,8.6,CO
26 Januari 2022,19.0,0.0,7.3,17.3,7.2,13.0,6.0,CO
27 Januari 2022,19.5,0.0,8.3,17.3,7.4,12.5,5.9,PM10
28 Januari 2022,17.6,0.0,9.1,17.0,9.0,12.7,5.6,CO
29 Januari 2022,21.6,0.0,7.9,18.6,9.6,12.3,6.2,PM10
30 Januari 2022,34.1,0.0,8.9,16.5,7.6,10.6,5.8,PM10
31 Januari 2022,28.7,0.0,8.6,16.2,8.2,10.5,5.9,PM10
01 Februari 2022,23.0,0.0,7.4,16.2,9.3,11.3,5.6,PM10
02 Februari 2022,17.4,0.0,9.2,15.5,11.2,10.8,5.4,PM10
03 Februari 2022,17.0,0.0,10.4,15.0,9.3,10.0,6.4,PM10
04 Februari 2022,21.7,0.0,7.9,14.6,8.7,11.6,6.7,PM10
05 Februari 2022,23.3,0.0,10.6,15.3,10.0,12.1,6.5,PM10
06 Februari 2022,21.9,0.0,7.8,14.1,8.0,11.5,5.8,PM10
07 Februari 2022,22.0,0.0,8.1,14.8,10.3,11.6,6.3,PM10
08 Februari 2022,23.1,0.0,8.5,15.3,9.5,11.8,6.8,PM10
09 Februari 2022,14.0,0.0,10.6,14.8,8.2,11.3,7.3,CO
10 Februari 2022,20.0,0.0,12.3,14.8,9.7,11.5,7.3,PM10
11 Februari 2022,15.3,0.0,12.9,13.6,9.0,10.6,6.2,PM10
12 Februari 2022,11.6,0.0,12.9,13.2,10.2,10.0,6.8,CO
13 Februari 2022,19.2,0.0,12.6,12.9,10.3,9.7,7.0,PM10
14 Februari 2022,13.0,0.0,13.8,13.6,10.9,9.5,8.1,SO2
15 Februari 2022,17.9,0.0,11.2,13.6,12.2,9.7,8.2,PM10
16 Februari 2022,21.9,0.0,9.1,13.2,9.3,9.7,8.6,PM10
17 Februari 2022,24.1,0.0,11.2,12.9,9.7,9.3,7.9,PM10
18 Februari 2022,28.0,0.0,8.7,13.2,9.7,10.0,7.0,PM10
19 Februari 2022,24.8,0.0,9.8,12.9,10.2,10.5,6.5,PM10
20 Februari 2022,23.4,0.0,8.7,12.3,10.9,10.0,6.0,PM10
21 Februari 2022,15.4,0.0,13.0,12.5,9.6,9.6,6.5,PM10
22 Februari 2022,15.3,0.0,13.3,12.0,10.9,9.6,6.8,PM10
23 Februari 2022,15.3,0.0,14.1,12.9,10.5,9.7,6.8,PM10
24 Februari 2022,11.1,0.0,13.1,12.2,9.6,9.7,7.2,SO2
25 Februari 2022,24.4,0.0,11.3,12.9,9.5,10.6,6.8,PM10
26 Februari 2022,22.0,0.0,12.1,12.7,10.5,10.6,6.5,PM10
27 Februari 2022,20.0,0.0,10.6,12.2,10.3,9.6,6.4,PM10
28 Februari 2022,11.6,0.0,10.0,12.2,9.0,9.3,6.2,CO
01 Maret 2022,21.2,0.0,9.9,13.2,9.7,9.5,7.5,PM10
02 Maret 2022,16.2,0.0,11.6,12.5,10.3,9.3,6.8,PM10
03 Maret 2022,16.9,0.0,13.4,12.5,9.7,9.6,6.5,PM10
04 Maret 2022,20.2,0.0,13.2,13.4,9.6,10.2,6.4,PM10
05 Maret 2022,15.9,0.0,11.5,12.7,8.2,10.2,6.1,PM10
06 Maret 2022,14.3,0.0,11.0,12.7,11.2,10.5,6.5,PM10
07 Maret 2022,16.5,0.0,12.8,12.5,8.7,10.2,6.9,PM10
08 Maret 2022,19.5,0.0,13.6,12.3,10.6,10.5,6.8,PM10
09 Maret 2022,18.0,0.0,15.3,12.9,8.5,10.9,7.6,PM10
10 Maret 2022,15.2,0.0,12.5,12.2,9.7,10.5,7.3,PM10
11 Maret 2022,15.2,0.0,13.2,12.7,9.7,10.3,7.6,PM10
12 Maret 2022,20.8,0.0,14.1,12.9,10.8,10.0,7.3,PM10
13 Maret 2022,15.2,0.0,11.3,12.2,11.6,9.6,7.5,PM10
14 Maret 2022,15.5,0.0,13.3,12.7,10.9,10.0,7.3,PM10
15 Maret 2022,13.4,0.0,14.5,12.5,9.6,10.2,7.3,SO2
16 Maret 2022,21.8,0.0,12.3,12.5,10.9,10.5,6.9,PM10
17 Maret 2022,20.1,0.0,11.5,13.4,9.7,11.0,7.1,PM10
18 Maret 2022,16.7,0.0,12.9,13.2,9.6,11.0,7.1,PM10
19 Maret 2022,17.4,0.0,13.8,12.3,10.2,10.3,7.4,PM10
20 Maret 2022,14.5,0.0,12.5,11.5,11.5,9.3,6.8,PM10
21 Maret 2022,15.9,0.0,12.2,12.5,10.9,9.5,6.5,PM10
22 Maret 2022,19.3,0.0,11.8,12.7,10.6,9.7,6.4,PM10
23 Maret 2022,16.2,0.0,11.6,13.2,10.3,10.0,6.5,PM10
24 Maret 2022,15.9,0.0,11.8,13.1,10.5,10.2,6.5,PM10
25 Maret 2022,19.0,0.0,10.9,13.2,10.8,10.5,6.6,PM10
26 Maret 2022,20.5,0.0,11.2,12.7,10.5,10.5,6.8,PM10
27 Maret 2022,14.1,0.0,11.5,11.3,11.0,9.7,6.7,PM10
28 Maret 2022,20.5,0.0,10.9,12.2,11.2,9.6,6.3,PM10
29 Maret 2022,20.0,0.0,10.0,12.5,10.3,10.3,6.4,PM10
30 Maret 2022,12.2,0.0,10.3,12.0,10.8,9.7,6.9,CO
31 Maret 2022,14.1,0.0,10.4,12.7,10.2,10.5,6.8,PM10
01 April 2022,14.1,0.0,9.6,12.3,10.9,10.6,6.8,PM10
02 April 2022,16.9,0.0,9.6,11.6,11.6,9.6,6.9,PM10
