Waktu,PM10,SO2,CO,O3,NO2,Critical Component
1 Januari 2021,5,0,16,21,0,O3
2 Januari 2021,6,0,17,32,0,O3
3 Januari 2021,11,0,17,21,0,O3
4 Januari 2021,5,0,15,31,0,O3
5 Januari 2021,6,0,18,29,0,O3
6 Januari 2021,9,0,16,16,0,CO
7 Januari 2021,8,0,17,29,0,O3
8 Januari 2021,12,0,17,16,0,CO
9 Januari 2021,13,0,15,22,0,O3
10 Januari 2021,11,0,15,22,0,O3
11 Januari 2021,12,0,16,22,0,O3
12 Januari 2021,14,0,18,21,0,O3
13 Januari 2021,9,0,16,22,0,O3
14 Januari 2021,11,0,17,25,0,O3
15 Januari 2021,13,0,18,25,0,O3
16 Januari 2021,13,0,17,15,0,CO
17 Januari 2021,15,0,17,20,0,O3
18 Januari 2021,11,0,17,23,0,O3
19 Januari 2021,9,0,16,21,0,O3
20 Januari 2021,11,0,16,19,0,O3
21 Januari 2021,10,0,15,20,0,O3
22 Januari 2021,14,0,16,22,0,O3
23 Januari 2021,11,0,16,23,0,O3
24 Januari 2021,11,0,16,20,0,O3
25 Januari 2021,9,0,17,20,0,O3
26 Januari 2021,12,0,16,25,0,O3
27 Januari 2021,12,0,18,17,0,CO
28 Januari 2021,6,0,17,16,0,CO
29 Januari 2021,8,0,16,16,0,CO
30 Januari 2021,11,0,15,19,0,O3
31 Januari 2021,12,0,16,19,0,O3
1 Februari 2021,21,19,27,42,7,O3
2 Februari 2021,21,19,26,41,7,O3
3 Februari 2021,20,21,25,37,8,O3
4 Februari 2021,20,21,25,27,5,O3
5 Februari 2021,17,20,26,35,5,O3
6 Februari 2021,26,21,24,34,6,O3
7 Februari 2021,26,21,23,28,5,O3
8 Februari 2021,19,24,28,26,5,CO
9 Februari 2021,24,24,28,14,4,CO
10 Februari 2021,22,25,33,19,5,CO
11 Februari 2021,14,31,38,26,4,CO
12 Februari 2021,13,25,28,37,3,O3
13 Februari 2021,9,19,21,42,3,O3
14 Februari 2021,20,24,25,39,4,O3
15 Februari 2021,26,21,26,41,5,O3
16 Februari 2021,26,23,28,28,4,CO
17 Februari 2021,28,23,27,36,4,O3
18 Februari 2021,29,24,30,50,2,O3
19 Februari 2021,21,24,35,64,4,O3
20 Februari 2021,29,24,34,63,4,O3
21 Februari 2021,30,20,26,62,5,O3
22 Februari 2021,30,23,27,57,6,O3
23 Februari 2021,24,22,25,57,4,O3
24 Februari 2021,16,18,24,71,3,O3
25 Februari 2021,25,21,25,70,4,O3
26 Februari 2021,27,26,12,28,5,O3
27 Februari 2021,20,28,13,38,5,O3
28 Februari 2021,15,20,14,40,6,O3
1 Maret 2021,21,24,20,38,7,O3
2 Maret 2021,41,24,16,20,4,PM10
3 Maret 2021,40,22,17,25,6,PM10
4 Maret 2021,23,24,17,23,7,SO2
